Category,Negative,Neutral,Positive
politics,"'What I said was accurate': Sen. Kennedy defends calling Pelosi 'dumb'. Sen. John Kennedy defended himself for having called House Speaker Nancy Pelosi ""dumb.""",White House hiring new staff to handle impeachment inquiry response. Senior White House adviser Jared Kushner has been pushing to enhance the communications strategy.,"Trump says dog that assisted in al-Baghdadi mission will visit the Oval Office 'very soon'. The dog that assisted in the mission that led to the death of ISIS leader Abu Bakr al-Baghdadi will soon visit the White House, President Trump said Wednesday."
crime,"Registered sex offender arrested, charged with 16 counts of child exploitation. A registered sex offender was arrested and charged with 16 counts of child exploitation Thursday in Randolph County. Deputies with the Randolph County Sheriff's Office said Michael Scott Kivett, 40, of Asheboro, after they initiated an investigation into a","More than 400 Oklahoma inmates to be released from prison Monday. It's a historic day for Oklahoma and the country, as more than 400 inmates are being released from prison Monday. It is believed to be the country's largest-ever day of commutations -- all of this is part of the","Lanesville community, Police Department honor teenager after deadly car crash. A southern Indiana teen was honored by his community days after his death. ""With Thomas' character, he's the guy that walks into the room and he's the most loved guy in the room because he has an infectious smile,"" said"
tv,"11-year-old dies after being hit by SUV while trunk-or-treating. Noah Chambers, an 11-year-old Rockingham County Middle School student, died Sunday after being hit by an SUV while trunk-or-treating Friday night, Rockingham County Schools said. Rockingham County Middle School will hold a moment of silence in his honor and read a",I Never Knew: An infamous 1930s Phoenix murderess worked as a nanny. Taking curiosity about the Valley outside our podcast and into your inbox. Written this week by Valley 101 editor Katie O'Connell.,Kylie Jenner Trademarks 'Rise And Shine' After Viral Singing Video. smart move
us,"Man killed when deer goes through car windshield in Anderson. A man was killed Friday morning when he hit a deer with his car and the animal went through his windshield, Anderson County Coroner Greg Shore said.","The cheapest apartments for rent in Alhambra, ...","Sally's Apizza reportedly 'coming soon' to SoNo Collection mall. After 81 years on New Haven's Wooster Street, Sally's Apizza appears to be expanding for the first time, with a planned location at the new SoNo Collection luxury mall in South Norwalk. Sally's is listed on the mall's directory page as"
baseball,"Celtics now sport tag as NBA's surprise team. Compared to one year ago, the Celtics began this season flying below the radar in the Eastern Conference. They went from being the team pegged as the consensus favorite to reach the NBA Finals to a team with question marks due to",College Basketball Cheerleaders. College Baske...,"Irving's double-double lifts Nets past Harden, Rockets. The Rockets' usual problems sent them to a 123-116 loss to the Brooklyn Nets on Friday."
foodanddrink,"Peter Luger's says its steaks are still 'the best you can eat' after zero-star review from the New York Times. Pete Wells wrote that his fries were ""mealy and bland"" and that the Caesar salad's croutons were ""straight out of the bag.""","Dining out: Thanksgiving restaurant deals, from north to south county. By Janis Fontaine, Special to The Post There are few meals we look forward to with more anticipation -- or that are more completely satisfying -- than the annual Thanksgiving feast. But let's face it: Many of us are glad",Asheville Mac Attack: Here are the winners of the weekend macaroni and cheese contest. The All American Food Fights-presented macaroni battle pitted nine local restaurants and a food truck against each other at the Salvage Station.
travel,"Blinded by the light? 8 Investigates examines safety of LED headlights. New LED headlight technology is helping drivers see better while driving at night, but they're also drawing complaints from drivers who say they've been blinded by them. ""When I'm driving at night and cars come at me, I can","Bridge between Biddeford, Saco to close over weekend. The bridge carrying Main Street between Biddeford and Saco will close over the weekend for repairs, police said Tuesday. Pan Am Railways and Maine DOT will be working on the railroad tracks and the bridge on Saturday and Sunday, Saco police said.",13 Popular Instagram Landmarks Everyone Should Know.
scienceandtechnology,"Zuckerberg to tell Congress Facebook is 'not the ideal messenger' for Libra currency. Facebook Chief Executive Mark Zuckerberg plans to acknowledge before Congress that Facebook is not the ""ideal messenger"" for its Libra cryptocurrency project, given ongoing criticism of the company.","New weirdest stars in the galaxy checked for aliens. There's a bunch of stuff zipping in front of a distant pair of stars, making it a good place to look for E.T.",Walmart's early Black Friday deals have begun here are the ones you need to know about. An early look at what's available before Black Friday
movies,"Francis Ford Coppola's Slam on Marvel Films Fuels Debate Sparked by Martin Scorsese. Disparaging remarks by Francis Ford Coppola have further inflamed the debate sparked by Martin Scorsese and his criticism of Marvel and other comic book films. At a press conference in Lyon, France, where he was being honored","'Barney' the Purple Dinosaur Movie in the Works From Mattel and Daniel Kaluuya. Someone wake up Baby Bop: ""Barney"" the Purple Dinosaur is getting his own movie, thanks to a collaboration between Mattel Films and Daniel Kaluuya. The live-action project will mark the first collaboration between Mattel Films, Valparaiso Pictures","Star Wars: The Rise of Skywalker trailer is out, tickets already on sale. The trailer debuted during Monday Night Football halftime, on Carrie Fisher's birthday."
video,"Olga takes aim at Gulf Coast as a post-tropical cyclone. Despite being downgraded from a tropical storm, Olga is expected to bring heavy rain and severe storms to the Gulf Coast.","Federal judge dismisses Trump lawsuit over providing state tax returns. District Court Judge Carl Nichols, a Trump appointee, ruled that the D.C. federal court did not have jurisdiction over the New York tax commissioner or the state attorney general.","The snowy weather has brought some fun to many animals around the world. A compilation of different types of animals in different locations playing, romping and rolling around in the snow."
